12917265	2012-08-30 13:18:12	35676	23364	16	{4}	{0101000020E6100000526FFC3F3DF42F40310C587215E84640}	{0101000020E6100000526FFC3F3DF42F40310C587215E84640}
12917265	2012-08-30 13:18:09	36234	22917	16	{3}	{0101000020E61000003CF2AC495C0A334039B709F7CABF4740}	{0101000020E61000003CF2AC495C0A334039B709F7CABF4740}
12917265	2012-08-30 13:18:12	17838	11682	15	{}	{}	{}
12917265	2012-08-30 13:18:09	18117	11458	15	{}	{}	{}
12917265	2012-08-30 13:18:12	8919	5841	14	{}	{}	{}
12917265	2012-08-30 13:18:09	9058	5729	14	{}	{}	{}
12917265	2012-08-30 13:18:12	4459	2920	13	{}	{}	{}
12917265	2012-08-30 13:18:09	4529	2864	13	{}	{}	{}
12917265	2012-08-30 13:18:12	2229	1460	12	{}	{}	{}
12917265	2012-08-30 13:18:09	2264	1432	12	{}	{}	{}
12917265	2012-08-30 13:18:12	1114	730	11	{}	{}	{}
12917265	2012-08-30 13:18:09	1132	716	11	{}	{}	{}
12917265	2012-08-30 13:18:09	566	358	10	{}	{}	{}
12917265	2012-08-30 13:18:12	557	365	10	{}	{}	{}
12917265	2012-08-30 13:18:12	278	182	9	{}	{}	{}
12917265	2012-08-30 13:18:09	283	179	9	{}	{}	{}
12917265	2012-08-30 13:18:12	139	91	8	{}	{}	{}
12917265	2012-08-30 13:18:09	141	89	8	{}	{}	{}
12917265	2012-08-30 13:18:09	70	44	7	{}	{}	{}
12917265	2012-08-30 13:18:12	69	45	7	{}	{}	{}
12917265	2012-08-30 13:18:09	35	22	6	{}	{}	{}
12917265	2012-08-30 13:18:12	34	22	6	{}	{}	{}
12917265	2012-08-30 13:18:12	17	11	5	{}	{}	{}
12917265	2012-08-30 13:18:12	8	5	4	{}	{}	{}
12917265	2012-08-30 13:18:12	4	2	3	{}	{}	{}
12917265	2012-08-30 13:18:12	2	1	2	{}	{}	{}
